2018-03-24 10:36:03.636	    7f8a380e6740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-03-24 10:36:03.636	    7f8a380e6740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Monero 'Helium Hydra' (v0.11.1.0-release)
2018-03-24 10:36:03.636	    7f8a380e6740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Logging to ./monero-wallet-rpc.log
2018-03-24 10:36:03.637	    7f8a380e6740	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1853	Loading wallet...
2018-03-24 10:36:03.639	    7f8a380e6740	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2499	e || !exists. THROW EXCEPTION: error::file_not_found
2018-03-24 10:36:03.639	    7f8a380e6740	WARN 	net.http	src/wallet/wallet_errors.h:707	/DISTRIBUTION-BUILD/src/wallet/wallet2.cpp:2499:N5tools5error15file_error_baseILi1EEE: file not found "GroupWallet.keys"
2018-03-24 10:36:03.640	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: tools::error::file_error_base<1>
2018-03-24 10:36:03.640	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc:void tools::error::throw_wallet_ex<tools::error::file_error_base<1>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x1a1 [0x7c3fe1]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x297 [0x75be57]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xf5 [0x75d535]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:main+0xfc3 [0x6a2ff3]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7f8a373fc830]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 10:36:03.648	    7f8a380e6740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 10:36:03.648	    7f8a380e6740	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1887	Wallet initialization failed: file not found "GroupWallet.keys"
2018-03-24 10:36:28.852	    7fc9b2616740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-03-24 10:36:28.853	    7fc9b2616740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Monero 'Helium Hydra' (v0.11.1.0-release)
2018-03-24 10:36:28.853	    7fc9b2616740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Logging to ./monero-wallet-rpc.log
